OMGHAI!
-------- day 0 --------
name, sellIn, quality
Baked Chocolate Cake, -11, 0

-------- day 15 --------
name, sellIn, quality
Sports Memorabilia, -5, 0
Aged Cheese, -13, 28
Coffee Table Book, -10, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, 0, 50
Backstage passes to a concert, -5, 0
Backstage passes to a concert, -10, 0
Baked Chocolate Cake, -12, 0

-------- day 16 --------
name, sellIn, quality
Sports Memorabilia, -6, 0
Aged Cheese, -14, 30
Coffee Table Book, -11, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -1, 0
Backstage passes to a concert, -6, 0
Backstage passes to a concert, -11, 0
Baked Chocolate Cake, -13, 0

-------- day 17 --------
name, sellIn, quality
Sports Memorabilia, -7, 0
Aged Cheese, -15, 32
Coffee Table Book, -12, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -2, 0
Backstage passes to a concert, -7, 0
Backstage passes to a concert, -12, 0
Baked Chocolate Cake, -14, 0

-------- day 18 --------
name, sellIn, quality
Sports Memorabilia, -8, 0
Aged Cheese, -16, 34
Coffee Table Book, -13, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -3, 0
Backstage passes to a concert, -8, 0
Backstage passes to a concert, -13, 0
Baked Chocolate Cake, -15, 0

-------- day 19 --------
name, sellIn, quality
Sports Memorabilia, -9, 0
Aged Cheese, -17, 36
Coffee Table Book, -14, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -4, 0
Backstage passes to a concert, -9, 0
Backstage passes to a concert, -14, 0
Baked Chocolate Cake, -16, 0

-------- day 20 --------
name, sellIn, quality
Sports Memorabilia, -10, 0
Aged Cheese, -18, 38
Coffee Table Book, -15, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -5, 0
Backstage passes to a concert, -10, 0
Backstage passes to a concert, -15, 0
Baked Chocolate Cake, -17, 0

-------- day 21 --------
name, sellIn, quality
Sports Memorabilia, -11, 0
Aged Cheese, -19, 40
Coffee Table Book, -16, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -6, 0
Backstage passes to a concert, -11, 0
Backstage passes to a concert, -16, 0
Baked Chocolate Cake, -18, 0

-------- day 22 --------
name, sellIn, quality
Sports Memorabilia, -12, 0
Aged Cheese, -20, 42
Coffee Table Book, -17, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -7, 0
Backstage passes to a concert, -12, 0
Backstage passes to a concert, -17, 0
Baked Chocolate Cake, -19, 0

-------- day 23 --------
name, sellIn, quality
Sports Memorabilia, -13, 0
Aged Cheese, -21, 44
Coffee Table Book, -18, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -8, 0
Backstage passes to a concert, -13, 0
Backstage passes to a concert, -18, 0
Baked Chocolate Cake, -20, 0

-------- day 24 --------
name, sellIn, quality
Sports Memorabilia, -14, 0
Aged Cheese, -22, 46
Coffee Table Book, -19, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -9, 0
Backstage passes to a concert, -14, 0
Backstage passes to a concert, -19, 0
Baked Chocolate Cake, -21, 0

-------- day 25 --------
name, sellIn, quality
Sports Memorabilia, -15, 0
Aged Cheese, -23, 48
Coffee Table Book, -20, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -10, 0
Backstage passes to a concert, -15, 0
Backstage passes to a concert, -20, 0
Baked Chocolate Cake, -22, 0

-------- day 26 --------
name, sellIn, quality
Sports Memorabilia, -16, 0
Aged Cheese, -24, 50
Coffee Table Book, -21, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -11, 0
Backstage passes to a concert, -16, 0
Backstage passes to a concert, -21, 0
Baked Chocolate Cake, -23, 0

-------- day 27 --------
name, sellIn, quality
Sports Memorabilia, -17, 0
Aged Cheese, -25, 50
Coffee Table Book, -22, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -12, 0
Backstage passes to a concert, -17, 0
Backstage passes to a concert, -22, 0
Baked Chocolate Cake, -24, 0

-------- day 28 --------
name, sellIn, quality
Sports Memorabilia, -18, 0
Aged Cheese, -26, 50
Coffee Table Book, -23, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -13, 0
Backstage passes to a concert, -18, 0
Backstage passes to a concert, -23, 0
Baked Chocolate Cake, -25, 0

-------- day 29 --------
name, sellIn, quality
Sports Memorabilia, -19, 0
Aged Cheese, -27, 50
Coffee Table Book, -24, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -14, 0
Backstage passes to a concert, -19, 0
Backstage passes to a concert, -24, 0
Baked Chocolate Cake, -26, 0

-------- day 30 --------
name, sellIn, quality
Sports Memorabilia, -20, 0
Aged Cheese, -28, 50
Coffee Table Book, -25, 0
Fine Italian Silk, 0, 80
Fine Italian Silk, -1, 80
Backstage passes to a concert, -15, 0
Backstage passes to a concert, -20, 0
Backstage passes to a concert, -25, 0
Baked Chocolate Cake, -27, 0

